,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
3601,S66184860,White-breasted Nuthatch,Sitta carolinensis,3/21/2020,4:36 PM,1,37,US-OK,36.0351169,-94.8112393,28,3,2020
3622,S37773842,White-breasted Nuthatch,Sitta carolinensis,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
3697,S89277212,Blue-gray Gnatcatcher,Polioptila caerulea,5/30/2021,10:49 AM,2,26,US-OK,35.6247298,-99.2497676,28,5,2021
3721,S37773842,Blue-gray Gnatcatcher,Polioptila caerulea,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
3739,S35861224,Blue-gray Gnatcatcher,Polioptila caerulea,4/10/2017,6:06 PM,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
3828,S66184860,Carolina Wren,Thryothorus ludovicianus,3/21/2020,4:36 PM,1,37,US-OK,36.0351169,-94.8112393,28,3,2020
3832,S89277212,Carolina Wren,Thryothorus ludovicianus,5/30/2021,10:49 AM,2,26,US-OK,35.6247298,-99.2497676,28,5,2021
3856,S37773842,Carolina Wren,Thryothorus ludovicianus,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
3944,S45195604,European Starling,Sturnus vulgaris,5/2/2018,7:16 PM,2,28,US-MO,38.6219912,-90.275188,28,5,2018
4151,S49032262,Brown Thrasher,Toxostoma rufum,10/7/2018,12:30 PM,1,60,US-MO,38.6383932,-90.267979,28,10,2018
4203,S45195604,Northern Mockingbird,Mimus polyglottos,5/2/2018,7:16 PM,1,28,US-MO,38.6219912,-90.275188,28,5,2018
4400,S37773842,American Robin,Turdus migratorius,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
4403,S45195604,American Robin,Turdus migratorius,5/2/2018,7:16 PM,4,28,US-MO,38.6219912,-90.275188,28,5,2018
4428,S18301776,American Robin,Turdus migratorius,5/9/2014,8:40 AM,15,0,US-MO,38.6389068,-90.2853806,28,5,2014
4465,S49032262,American Robin,Turdus migratorius,10/7/2018,12:30 PM,2,60,US-MO,38.6383932,-90.267979,28,10,2018
4527,S66184860,Cedar Waxwing,Bombycilla cedrorum,3/21/2020,4:36 PM,15,37,US-OK,36.0351169,-94.8112393,28,3,2020
4655,S18301776,House Finch,Haemorhous mexicanus,5/9/2014,8:40 AM,2,0,US-MO,38.6389068,-90.2853806,28,5,2014
