,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
5331,S32025863,Swamp Sparrow,Melospiza georgiana,10/13/2016,1:15 PM,2,60,US-MO,38.6389068,-90.2853806,32,10,2016
5523,S32025863,Red-winged Blackbird,Agelaius phoeniceus,10/13/2016,1:15 PM,6,60,US-MO,38.6389068,-90.2853806,32,10,2016
6190,S32025863,Yellow-rumped Warbler,Setophaga coronata,10/13/2016,1:15 PM,2,60,US-MO,38.6389068,-90.2853806,32,10,2016
6385,S20416528,Northern Cardinal,Cardinalis cardinalis,11/2/2014,11:00 AM,4,30,US-MO,38.6389068,-90.2853806,32,11,2014
1799,S1737251,Broad-winged Hawk,Buteo platypterus,9/21/2004,4:00 PM,31,15,US-MD,39.1168803,-76.8732246,31,9,2004
573,S102586462,Pied-billed Grebe,Podilymbus podiceps,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
575,S87540807,Pied-billed Grebe,Podilymbus podiceps,5/8/2021,8:50 AM,1,185,US-OK,34.7124907,-98.6413512,30,5,2021
830,S66797781,Mourning Dove,Zenaida macroura,4/7/2020,6:37 PM,4,32,US-OK,36.1431952,-95.9334761,30,4,2020
853,S89739368,Yellow-billed Cuckoo,Coccyzus americanus,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
936,S89739368,Ruby-throated Hummingbird,Archilochus colubris,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
980,S102586462,American Coot,Fulica americana,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
1316,S89739368,Great Blue Heron,Ardea herodias,6/6/2021,11:44 AM,1,166,US-IL,38.7746894,-89.694683,30,6,2021
1566,S102586462,Black Vulture,Coragyps atratus,2/13/2022,1:28 PM,2,44,US-AR,36.477805,-94.2451848,30,2,2022
1589,S102586462,Turkey Vulture,Cathartes aura,2/13/2022,1:28 PM,1,44,US-AR,36.477805,-94.2451848,30,2,2022
1601,S87540807,Turkey Vulture,Cathartes aura,5/8/2021,8:50 AM,3,185,US-OK,34.7124907,-98.6413512,30,5,2021
